Original URL,Image URL
https://plants.usda.gov/plant-profile/CEOC2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/ceoc2_003_shp.jpg
https://plants.usda.gov/plant-profile/CHFA2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chfa2_002_svp.jpg
https://plants.usda.gov/plant-profile/CHNI2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chni2_003_shp.jpg
https://plants.usda.gov/plant-profile/CHTH2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chth2_002_shp.jpg
https://plants.usda.gov/plant-profile/CHLU,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chlu_001_svd.jpg
https://plants.usda.gov/plant-profile/CHMA15,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chma15_003_shp.jpg
https://plants.usda.gov/plant-profile/CHNU9,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chnu9_001_shp.jpg
https://plants.usda.gov/plant-profile/CHPO6,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chpo6_001_svd.jpg
https://plants.usda.gov/plant-profile/CHGL2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chgl2_002_svp.jpg
https://plants.usda.gov/plant-profile/CHSI2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chhy_001_svd.jpg
https://plants.usda.gov/plant-profile/CHMA3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chma3_001_svd.jpg
https://plants.usda.gov/plant-profile/CHUM,https://plants.sc.egov.usda.gov/ImageLibrary/standard/chum_001_svd.jpg
https://plants.usda.gov/plant-profile/CHAM2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cham2_001_svd.jpg
https://plants.usda.gov/plant-profile/CIMA2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cima2_002_shp.jpg
https://plants.usda.gov/plant-profile/ACRAR,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cira_001_svd.jpg
https://plants.usda.gov/plant-profile/CIAR2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/ciar2_002_svp.jpg
https://plants.usda.gov/plant-profile/CIHO2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/ciho2_002_shp.jpg
https://plants.usda.gov/plant-profile/CIMU,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cimu_001_svd.jpg
https://plants.usda.gov/plant-profile/CIPU4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/ciod_001_svd.jpg
https://plants.usda.gov/plant-profile/CLVI3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/clvi3_002_shp.jpg
https://plants.usda.gov/plant-profile/CLVI5,https://plants.sc.egov.usda.gov/ImageLibrary/standard/clvi5_002_shp.jpg
https://plants.usda.gov/plant-profile/CLAL3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/clal3_002_svp.jpg
